Entity,Code,Year,Share of global annual CO₂ emissions,Share of world population,INFLATION RATE_normalized,EU Index_normalized,Energy Consumption_normalized
China,CHN,1985,9.840285,21.80787,,,0.056169540876335904
China,CHN,1986,10.210903,21.772863,,,0.06377333974329548
China,CHN,1987,10.62676,21.758682,,,0.07315244699122528
China,CHN,1988,10.988139,21.742514,,,0.08254225322344788
China,CHN,1989,11.008793,21.716673,,,0.08935638007079465
China,CHN,1990,10.921143,21.701769,,,0.09554999820042785
China,CHN,1991,11.21892,21.653217,0.19323676754770347,0.2830359034102945,0.10576330640038363
China,CHN,1992,12.100694,21.55254,0.3022571618357469,0.2830359034102945,0.12061410715025264
China,CHN,1993,12.815186,21.440966,0.6240261427796203,0.2830359034102945,0.13605196886383802
China,CHN,1994,13.474144,21.32741,1.0,0.2830359034102945,0.15322880760368876
China,CHN,1995,14.289946,21.21013,0.7090330498866098,0.3455306079220504,0.16473136709657304
China,CHN,1996,14.469256,21.08615,0.37861321615531257,0.08255666172421099,0.17826618593117022
China,CHN,1997,14.410563,20.956665,0.16321857764595993,0.0507837322601144,0.18670132010684362
China,CHN,1998,13.828429,20.824636,0.02448652850400499,0.07238932429570007,0.1914641691320164
China,CHN,1999,14.324503,20.69023,0.0,0.11342935818682483,0.20301291275493716
China,CHN,2000,14.30987,20.558138,0.06817571070803809,0.0,0.2240555531595621
China,CHN,2001,14.522,20.426758,0.08264713055261091,0.388794746875662,0.24633064628108894
China,CHN,2002,15.631658,20.292196,0.026092825457916816,0.36406481677610675,0.27785125042167685
China,CHN,2003,17.509422,20.157864,0.09856694178620379,0.26964626138529973,0.3270418153464384
China,CHN,2004,18.229614,20.025734,0.203679785324508,0.14742639271340818,0.38202079299421404
China,CHN,2005,19.877409,19.89711,0.12385335917979401,0.049459860199110375,0.43436723270764904
China,CHN,2006,21.219328,19.771183,0.11890438445147386,0.09399491633128575,0.5027605332275609
China,CHN,2007,22.17027,19.647984,0.24234657008414345,0.14123067146790935,0.5792025840784264
China,CHN,2008,23.411524,19.527977,0.2855480557612585,0.6539927981359881,0.6112920465381879
China,CHN,2009,25.056435,19.412384,0.026241144984637758,0.3812751535691591,0.655542789853544
China,CHN,2010,25.882849,19.29957,0.17837379980590257,0.22902986655369625,0.7437667105666452
China,CHN,2011,27.681147,19.186644,0.2710751523905335,0.6089811480618513,0.8376020722711046
China,CHN,2012,27.992638,19.08152,0.15671231369381913,1.0,0.8829577298713294
China,CHN,2013,28.25909,18.979141,0.1567717752069853,0.3084621902139377,0.9605330255960498
China,CHN,2014,28.192125,18.87433,0.12951338466062798,0.3596695615335734,1.0
India,IND,1971,1.2382528,15.118687,,,0.0
India,IND,1972,1.2514977,15.15912,,,0.0037097659599674288
India,IND,1973,1.2239591,15.205848,,,0.004284970701855112
India,IND,1974,1.2690243,15.260151,,,0.009184612582931687
India,IND,1975,1.3736622,15.3221245,,,0.02439396346459361
India,IND,1976,1.3608344,15.388064,,,0.03821933053386412
India,IND,1977,1.4001979,15.458274,,,0.04141724988063561
India,IND,1978,1.3803513,15.531957,,,0.05537861134649776
India,IND,1979,1.4094002,15.604981,,,0.05526558227889198
India,IND,1980,1.4973025,15.680178,,,0.06390896596005768
India,IND,1981,1.6562393,15.755315,,,0.07858918676972085
India,IND,1982,1.7247472,15.824043,,,0.08766211685362015
India,IND,1983,1.8550549,15.8961,,,0.0986947586779501
India,IND,1984,1.840772,15.974065,,,0.12406878727293279
India,IND,1985,1.9580867,16.048649,,,0.13879595039571221
India,IND,1986,2.0687084,16.11856,,,0.15949473024990624
India,IND,1987,2.143216,16.181683,,,0.1769921991909574
India,IND,1988,2.2271304,16.244776,,,0.2052955166174307
India,IND,1989,2.415889,16.310509,,,0.22949724606009317
India,IND,1990,2.5403404,16.373652,,,0.2507914521866788
India,IND,1991,2.6490698,16.442865,1.0,0.3900517458799293,0.2775306377503899
India,IND,1992,2.9044235,16.52332,0.7938800074238781,0.3900517458799293,0.29660450228333046
India,IND,1993,2.970826,16.608917,0.25335446504840675,0.3900517458799293,0.3193233007255776
India,IND,1994,3.0999377,16.698593,0.6414616834919976,0.3900517458799293,0.34852440444517485
India,IND,1995,3.232638,16.78987,0.6391802410814846,0.3900517458799293,0.3732057437191068
India,IND,1996,3.3963513,16.879944,0.5156788545576597,0.3900517458799293,0.3744223095345579
India,IND,1997,3.5170228,16.97009,0.3362369838460304,0.3900517458799293,0.3965188890587114
India,IND,1998,3.5994177,17.059984,0.9367111203038971,0.3900517458799293,0.4110623142626246
India,IND,1999,3.8273299,17.148012,0.08933674564640426,0.3900517458799293,0.41962397546685054
India,IND,2000,3.8332434,17.2329,0.02397152411776861,0.3900517458799293,0.42161062843670716
India,IND,2001,3.8596776,17.316877,0.0011918631714144246,0.3900517458799293,0.4213973649316985
India,IND,2002,3.8923085,17.399275,0.05244982632473379,0.3900517458799293,0.44485073001754855
India,IND,2003,3.8307824,17.476273,0.0038213680320399335,0.10116244849911711,0.4726192906206869
